job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl
258 50 1225 25 poisson 1 62500 62500 96.679 29318 3 9 9 18
259 50 1225 25 poisson 1 62500 62500 93.327 29328 4 8 12 19
260 50 1225 25 poisson 1 62500 62500 100.652 29314 4 8 9 20
261 50 1225 25 poisson 1 62500 62500 92.784 29310 4 9 9 21
262 50 1225 25 poisson 1 62500 62500 97.311 29314 3 8 9 22
263 50 1225 25 poisson 1 62500 62500 105.444 29310 4 8 9 23
264 50 1225 25 poisson 1 62500 62500 85.471 29320 3 8 9 24
265 50 1225 25 poisson 1 62500 62500 98.913 29334 3 8 11 25
266 50 1225 25 poisson 1 62500 62500 102.189 29322 4 9 11 26
267 50 1225 25 poisson 1 62500 62500 98.272 29318 3 8 9 27
268 50 1225 25 poisson 1 62500 62500 100.276 29326 4 6 11 28
269 50 1225 25 poisson 1 62500 62500 98.625 29312 3 9 10 29
270 50 1225 25 poisson 1 62500 62500 108.766 29326 3 7 8 30
271 50 1225 25 uniform1 1 62500 62500 94.323 29348 4 9 9 1
272 50 1225 25 uniform1 1 62500 62500 104.955 29346 4 10 9 2
273 50 1225 25 uniform1 1 62500 62500 99.528 29348 4 8 11 3
274 50 1225 25 uniform1 1 62500 62500 93.892 29332 4 7 9 4
275 50 1225 25 uniform1 1 62500 62500 103.735 29344 3 9 10 5
276 50 1225 25 uniform1 1 62500 62500 98.848 29332 4 11 12 6
277 50 1225 25 uniform1 1 62500 62500 93.304 29340 3 7 10 7
278 50 1225 25 uniform1 1 62500 62500 99.873 29336 4 9 10 8
279 50 1225 25 uniform1 1 62500 62500 101.577 29348 3 9 10 9
280 50 1225 25 uniform1 1 62500 62500 91.578 29346 4 8 9 10
281 50 1225 25 uniform1 1 62500 62500 87.96 29348 3 9 9 11
282 50 1225 25 uniform1 1 62500 62500 106.552 29344 3 8 11 12
283 50 1225 25 uniform1 1 62500 62500 101.757 29342 3 8 10 13
284 50 1225 25 uniform1 1 62500 62500 94.006 29354 3 7 10 14
285 50 1225 25 uniform1 1 62500 62500 100.477 29344 4 8 10 15
286 50 1225 25 uniform1 1 62500 62500 95.179 29334 3 9 12 16
287 50 1225 25 uniform1 1 62500 62500 91.664 29342 4 7 8 17
288 50 1225 25 uniform1 1 62500 62500 92.125 29350 4 7 11 18
289 50 1225 25 uniform1 1 62500 62500 94.531 29342 5 9 11 19
290 50 1225 25 uniform1 1 62500 62500 92.197 29342 3 9 9 20
291 50 1225 25 uniform1 1 62500 62500 96.986 29356 4 8 11 21
292 50 1225 25 uniform1 1 62500 62500 93.554 29330 3 10 9 22
293 50 1225 25 uniform1 1 62500 62500 93.519 29344 4 9 11 23
294 50 1225 25 uniform1 1 62500 62500 98.809 29336 4 7 9 24
295 50 1225 25 uniform1 1 62500 62500 98.47 29350 3 7 10 25
296 50 1225 25 uniform1 1 62500 62500 94.391 29336 4 7 13 26
297 50 1225 25 uniform1 1 62500 62500 91.024 29346 4 8 10 27
298 50 1225 25 uniform1 1 62500 62500 94.062 29352 4 9 13 28
299 50 1225 25 uniform1 1 62500 62500 102.667 29336 5 8 10 29
300 50 1225 25 uniform1 1 62500 62500 92.749 29332 3 9 12 30
301 50 1225 25 uniform2 1 62500 62500 92.427 29332 3 9 10 1
302 50 1225 25 uniform2 1 62500 62500 93.164 29342 5 7 11 2
303 50 1225 25 uniform2 1 62500 62500 94.922 29334 5 8 12 3
304 50 1225 25 uniform2 1 62500 62500 95.134 29338 3 8 10 4
305 50 1225 25 uniform2 1 62500 62500 98.052 29326 3 11 9 5
306 50 1225 25 uniform2 1 62500 62500 96.721 29338 3 9 9 6
307 50 1225 25 uniform2 1 62500 62500 94.858 29352 4 9 9 7
308 50 1225 25 uniform2 1 62500 62500 97.911 29350 4 8 10 8
309 50 1225 25 uniform2 1 62500 62500 94.307 29336 3 6 10 9
310 50 1225 25 uniform2 1 62500 62500 101.777 29324 3 9 13 10
311 50 1225 25 uniform2 1 62500 62500 96.552 29346 3 8 11 11
312 50 1225 25 uniform2 1 62500 62500 89.396 29334 4 8 11 12
313 50 1225 25 uniform2 1 62500 62500 98.706 29346 3 9 11 13
314 50 1225 25 uniform2 1 62500 62500 101.619 29326 3 9 12 14
315 50 1225 25 uniform2 1 62500 62500 100.297 29344 3 9 9 15
316 50 1225 25 uniform2 1 62500 62500 98.3 29346 3 11 13 16
317 50 1225 25 uniform2 1 62500 62500 106.552 29342 3 9 12 17
318 50 1225 25 uniform2 1 62500 62500 93.792 29340 3 9 11 18
319 50 1225 25 uniform2 1 62500 62500 94.558 29338 3 8 10 19
320 50 1225 25 uniform2 1 62500 62500 101.71 29344 3 6 10 20
321 50 1225 25 uniform2 1 62500 62500 102.986 29340 4 8 9 21
322 50 1225 25 uniform2 1 62500 62500 101.828 29342 3 8 9 22
323 50 1225 25 uniform2 1 62500 62500 89.371 29342 3 9 13 23
324 50 1225 25 uniform2 1 62500 62500 97.614 29330 3 7 10 24
325 50 1225 25 uniform2 1 62500 62500 100.09 29342 3 10 9 25
326 50 1225 25 uniform2 1 62500 62500 105.954 29336 4 9 7 26
327 50 1225 25 uniform2 1 62500 62500 95.716 29328 4 9 9 27
328 50 1225 25 uniform2 1 62500 62500 106.396 29332 3 9 9 28
329 50 1225 25 uniform2 1 62500 62500 93.575 29318 4 8 10 29
330 50 1225 25 uniform2 1 62500 62500 91.112 29344 4 10 10 30
331 50 1225 25 uniform3 1 62500 62500 95.22 29316 2 8 9 1
332 50 1225 25 uniform3 1 62500 62500 87.605 29326 3 7 10 2
333 50 1225 25 uniform3 1 62500 62500 96.812 29326 5 9 9 3
334 50 1225 25 uniform3 1 62500 62500 92.774 29332 3 9 9 4
335 50 1225 25 uniform3 1 62500 62500 106.013 29340 3 9 11 5
336 50 1225 25 uniform3 1 62500 62500 102.439 29326 4 9 9 6
337 50 1225 25 uniform3 1 62500 62500 95.449 29328 3 9 10 7
338 50 1225 25 uniform3 1 62500 62500 108.463 29332 3 7 10 8
339 50 1225 25 uniform3 1 62500 62500 97.192 29328 5 8 11 9
340 50 1225 25 uniform3 1 62500 62500 101.739 29332 3 9 7 10
341 50 1225 25 uniform3 1 62500 62500 101.289 29326 3 8 11 11
342 50 1225 25 uniform3 1 62500 62500 103.408 29334 3 8 10 12
343 50 1225 25 uniform3 1 62500 62500 85.494 29332 4 9 11 13
344 50 1225 25 uniform3 1 62500 62500 102.033 29336 3 10 12 14
345 50 1225 25 uniform3 1 62500 62500 102.573 29344 3 10 12 15
346 50 1225 25 uniform3 1 62500 62500 101.186 29336 3 8 9 16
347 50 1225 25 uniform3 1 62500 62500 103.261 29340 4 8 10 17
348 50 1225 25 uniform3 1 62500 62500 98.906 29332 3 8 10 18
349 50 1225 25 uniform3 1 62500 62500 94.299 29334 4 8 12 19
350 50 1225 25 uniform3 1 62500 62500 99.715 29322 4 9 12 20
351 50 1225 25 uniform3 1 62500 62500 101.023 29324 3 9 11 21
352 50 1225 25 uniform3 1 62500 62500 96.846 29342 4 11 10 22
353 50 1225 25 uniform3 1 62500 62500 95.023 29330 4 9 10 23
354 50 1225 25 uniform3 1 62500 62500 101.489 29334 4 7 11 24
355 50 1225 25 uniform3 1 62500 62500 94.927 29328 4 8 11 25
356 50 1225 25 uniform3 1 62500 62500 95.604 29332 4 11 12 26
357 50 1225 25 uniform3 1 62500 62500 86.826 29330 4 9 11 27
358 50 1225 25 uniform3 1 62500 62500 98.758 29332 3 9 11 28
359 50 1225 25 uniform3 1 62500 62500 90.84 29346 4 8 9 29
360 50 1225 25 uniform3 1 62500 62500 94.132 29318 4 7 10 30
361 100 4950 2 poisson 1 559 20000 0.294 198 2 2 1 1
362 100 4950 2 poisson 1 284 20000 0.404 198 2 1 2 2
363 100 4950 2 poisson 1 1247 20000 0.799999999999997 198 1 1 2 3
364 100 4950 2 poisson 1 949 20000 0.503 198 2 2 2 4
365 100 4950 2 poisson 1 453 20000 0.442 198 1 2 2 5
366 100 4950 2 poisson 1 572 20000 0.349999999999994 198 2 2 2 6
367 100 4950 2 poisson 1 446 20000 0.269 198 2 2 2 7
368 100 4950 2 poisson 1 420 20000 0.215000000000003 198 2 2 2 8
369 100 4950 2 poisson 1 654 20000 0.52 198 1 2 2 9
370 100 4950 2 poisson 1 630 20000 0.526 198 2 2 2 10
371 100 4950 2 poisson 1 399 20000 0.187000000000001 198 2 2 2 11
372 100 4950 2 poisson 1 750 20000 0.415000000000006 198 1 2 1 12
373 100 4950 2 poisson 1 365 20000 0.199999999999999 198 2 1 2 13
374 100 4950 2 poisson 1 727 20000 0.622000000000001 198 1 2 2 14
375 100 4950 2 poisson 1 534 20000 0.727 198 2 2 2 15
376 100 4950 2 poisson 1 363 20000 0.218999999999999 198 1 2 2 16
377 100 4950 2 poisson 1 217 20000 0.138999999999999 198 1 2 2 17
378 100 4950 2 poisson 1 514 20000 0.316000000000003 198 1 2 2 18
379 100 4950 2 poisson 1 985 20000 0.768 198 2 2 2 19
