job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl type
273 100 4950 2 uniform2 0.1 20000 20000 10.853 50 2 2 2 3 euclidean
274 100 4950 2 uniform2 0.1 20000 20000 10.379 32 2 1 2 4 euclidean
275 100 4950 2 uniform2 0.1 20000 20000 10.408 52 1 1 2 5 euclidean
276 100 4950 2 uniform2 0.1 20000 20000 10.549 44 1 2 2 6 euclidean
277 100 4950 2 uniform2 0.1 20000 20000 10.56 44 2 2 2 7 euclidean
278 100 4950 2 uniform2 0.1 20000 20000 10.922 34 1 1 2 8 euclidean
279 100 4950 2 uniform2 0.1 20000 20000 10.665 52 1 2 2 9 euclidean
280 100 4950 2 uniform2 0.1 20000 20000 9.941 42 1 2 2 10 euclidean
281 100 4950 2 uniform2 0.1 20000 20000 9.405 48 1 2 2 11 euclidean
282 100 4950 2 uniform2 0.1 20000 20000 9.242 40 2 2 2 12 euclidean
283 100 4950 2 uniform2 0.1 20000 20000 9.102 38 1 2 2 13 euclidean
284 100 4950 2 uniform2 0.1 20000 20000 10.575 42 1 2 2 14 euclidean
285 100 4950 2 uniform2 0.1 20000 20000 9.261 32 1 2 2 15 euclidean
286 100 4950 2 uniform2 0.1 20000 20000 9.337 48 1 2 2 16 euclidean
287 100 4950 2 uniform2 0.1 20000 20000 10.432 46 2 2 2 17 euclidean
288 100 4950 2 uniform2 0.1 20000 20000 10.328 36 1 2 2 18 euclidean
289 100 4950 2 uniform2 0.1 20000 20000 9.424 34 1 2 2 19 euclidean
290 100 4950 2 uniform2 0.1 20000 20000 10.369 34 1 2 2 20 euclidean
291 100 4950 2 uniform2 0.1 20000 20000 8.617 36 1 2 2 21 euclidean
292 100 4950 2 uniform2 0.1 20000 20000 9.425 28 1 2 2 22 euclidean
293 100 4950 2 uniform2 0.1 20000 20000 10.743 54 1 2 2 23 euclidean
294 100 4950 2 uniform2 0.1 20000 20000 10.106 30 1 2 2 24 euclidean
295 100 4950 2 uniform2 0.1 20000 20000 10.357 42 1 2 2 25 euclidean
296 100 4950 2 uniform2 0.1 20000 20000 10.144 50 2 2 2 26 euclidean
297 100 4950 2 uniform2 0.1 20000 20000 10.265 46 1 2 2 27 euclidean
298 100 4950 2 uniform2 0.1 20000 20000 10.122 36 2 2 2 28 euclidean
299 100 4950 2 uniform2 0.1 20000 20000 10.462 56 1 1 2 29 euclidean
300 100 4950 2 uniform2 0.1 20000 20000 10.066 40 2 2 2 30 euclidean
301 100 4950 2 uniform2 0.5 20000 20000 9.2 140 1 2 2 1 euclidean
302 100 4950 2 uniform2 0.5 20000 20000 9.777 126 2 2 1 2 euclidean
303 100 4950 2 uniform2 0.5 20000 20000 10.357 130 1 2 2 3 euclidean
304 100 4950 2 uniform2 0.5 20000 20000 13.699 118 2 2 2 4 euclidean
305 100 4950 2 uniform2 0.5 20000 20000 10.611 124 2 2 2 5 euclidean
